relative_path,label,source_folder,db_name,image_filename,record_id,roi_id,manual_label,ai_label,ai_model_name,manual_added,image_width_px,image_height_px,roi_start_x,roi_start_y,roi_end_x,roi_end_y
class0/record_000313.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_4.tif,313,193,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,617,374,665,422
class0/record_002031.png,0,Test_data,Test_data_bulk.db,SPG(33)_NEG1_3CMOS_IL10_50ms_9.tif,2031,27,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,983,716,1031,764
class0/record_000990.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL5_50ms_4.tif,990,112,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1701,1083,1749,1131
class0/record_000123.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_4.tif,123,3,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1833,1181,1881,1229
class0/record_002059.png,0,Test_data,Test_data_bulk.db,SPG(33)_NEG1_3CMOS_IL10_50ms_9.tif,2059,55,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1456,787,1504,835
class0/record_002539.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_17.tif,2539,37,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1661,751,1709,799
class0/record_000253.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_4.tif,253,133,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2384,933,2432,981
class0/record_000389.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_5.tif,389,61,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,182,835,230,883
class0/record_002630.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_17.tif,2630,128,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,648,1124,696,1172
class0/record_002366.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_15.tif,2366,50,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1960,519,2008,567
class0/record_002263.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_14.tif,2263,29,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1391,587,1439,635
class0/record_002421.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_16.tif,2421,13,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,505,317,553,365
class0/record_001836.png,0,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_32.tif,1836,16,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,858,1167,906,1215
class0/record_002028.png,0,Test_data,Test_data_bulk.db,SPG(33)_NEG1_3CMOS_IL10_50ms_9.tif,2028,24,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1174,627,1222,675
class0/record_002289.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_14.tif,2289,55,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1155,760,1203,808
class0/record_000664.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL5_50ms_2.tif,664,3,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,956,1462,1004,1510
class0/record_000840.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL5_50ms_3.tif,840,48,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1323,1615,1371,1663
class0/record_001996.png,0,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_35.tif,1996,87,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2297,721,2345,769
class0/record_001864.png,0,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_32.tif,1864,44,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1140,1451,1188,1499
class0/record_001835.png,0,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_32.tif,1835,15,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,949,1343,997,1391
class0/record_002613.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_17.tif,2613,111,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,877,1372,925,1420
class0/record_002295.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_14.tif,2295,61,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1759,1676,1807,1724
class0/record_000455.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL20_50ms_5.tif,455,127,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,308,1698,356,1746
class0/record_001017.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL5_50ms_4.tif,1017,139,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1633,290,1681,338
class0/record_002574.png,0,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_17.tif,2574,72,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2552,787,2600,835
class0/record_001884.png,0,Test_data,Test_data_bulk.db,SPG(32)_NEG1_3CMOS_IL20_50ms_32.tif,1884,64,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,983,1088,1031,1136
class0/record_002711.png,0,Test_data,Test_data_bulk.db,U28_1428_A2SH2_10_3CMOS_IL20_50ms_9.tif,2711,4,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1847,776,1895,824
class0/record_000643.png,0,Test_data,Test_data_bulk.db,1339_No.4_12116_IL5_50ms_15.tif,643,19,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2673,56,2721,104
class1/record_002230.png,1,Test_data,Test_data_bulk.db,SPG_cell_SPG(32)_3CMOS_IL20_50ms_12.tif,2230,114,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1285,1445,1333,1493
