relative_path,label,source_folder,db_name,image_filename,record_id,roi_id,manual_label,ai_label,ai_model_name,manual_added,image_width_px,image_height_px,roi_start_x,roi_start_y,roi_end_x,roi_end_y
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0001__rec000001.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,1,1,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,874,1081,922,1129
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0002__rec000002.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,2,2,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1971,34,2019,82
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0003__rec000003.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,3,3,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,965,74,1013,122
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0004__rec000004.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,4,4,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1564,289,1612,337
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0005__rec000005.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,5,5,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1226,1227,1274,1275
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0006__rec000006.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,6,6,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2108,103,2156,151
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0007__rec000007.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,7,7,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,538,0,586,48
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0008__rec000008.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,8,8,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1987,1519,2035,1567
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0009__rec000009.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,9,9,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,793,721,841,769
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0010__rec000010.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,10,10,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2340,131,2388,179
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0011__rec000011.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,11,11,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2369,847,2417,895
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0012__rec000012.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,12,12,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2124,877,2172,925
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0013__rec000013.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,13,13,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1478,27,1526,75
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0014__rec000014.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,14,14,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,391,345,439,393
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0015__rec000015.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,15,15,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1597,836,1645,884
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0016__rec000016.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,16,16,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1804,497,1852,545
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0017__rec000017.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,17,17,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2488,302,2536,350
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0018__rec000018.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,18,18,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1731,593,1779,641
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0019__rec000019.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,19,19,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1841,509,1889,557
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0020__rec000020.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,20,20,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1447,296,1495,344
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0021__rec000021.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,21,21,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2672,1145,2720,1193
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0022__rec000022.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,22,22,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2665,1364,2713,1412
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0023__rec000023.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,23,23,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,205,97,253,145
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0024__rec000024.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,24,24,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1231,1732,1279,1780
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0025__rec000025.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,25,25,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2104,41,2152,89
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0026__rec000026.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,26,26,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1323,1618,1371,1666
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0027__rec000027.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,27,27,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,829,1344,877,1392
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0028__rec000028.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,28,28,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,616,480,664,528
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0029__rec000029.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,29,29,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2010,1647,2058,1695
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0030__rec000030.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,30,30,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2475,26,2523,74
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0031__rec000031.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,31,31,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2198,49,2246,97
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0032__rec000032.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,32,32,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,763,1329,811,1377
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0033__rec000033.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,33,33,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2409,727,2457,775
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0041__rec000041.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,41,41,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2386,1638,2434,1686
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0049__rec000049.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,49,49,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,718,325,766,373
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0057__rec000057.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,57,57,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2507,203,2555,251
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0062__rec000062.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,62,62,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2131,399,2179,447
class1/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0069__rec000069.png,1,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,69,69,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2632,1484,2680,1532
class2/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0071__rec000071.png,2,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,71,71,2,2,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1239,774,1287,822
