relative_path,label,source_folder,db_name,image_filename,record_id,roi_id,manual_label,ai_label,ai_model_name,manual_added,image_width_px,image_height_px,roi_start_x,roi_start_y,roi_end_x,roi_end_y
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0022__rec000022.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,22,22,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2665,1364,2713,1412
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0015__rec000015.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,15,15,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1597,836,1645,884
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0011__rec000011.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,11,11,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2369,847,2417,895
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0030__rec000030.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,30,30,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2475,26,2523,74
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0025__rec000025.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,25,25,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2104,41,2152,89
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0007__rec000007.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,7,7,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,538,0,586,48
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0006__rec000006.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,6,6,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2108,103,2156,151
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0013__rec000013.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,13,13,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1478,27,1526,75
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0012__rec000012.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,12,12,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2124,877,2172,925
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0016__rec000016.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,16,16,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1804,497,1852,545
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0010__rec000010.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,10,10,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2340,131,2388,179
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0029__rec000029.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,29,29,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2010,1647,2058,1695
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0033__rec000033.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,33,33,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2409,727,2457,775
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0024__rec000024.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,24,24,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1231,1732,1279,1780
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0018__rec000018.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,18,18,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1731,593,1779,641
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0031__rec000031.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,31,31,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,2198,49,2246,97
class0/manual_verify__1339_No.4_12116_IL20_50ms_3.tif__roi0002__rec000002.png,0,manual_verify,Test_data_manual_verify.db,1339_No.4_12116_IL20_50ms_3.tif,2,2,0,0,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,2880,1800,1971,34,2019,82
