relative_path,label,source_folder,db_name,image_filename,record_id,roi_id,manual_label,ai_label,ai_model_name,reviewed_in_deepscan,label_source,manual_added,image_width_px,image_height_px,roi_start_x,roi_start_y,roi_end_x,roi_end_y
class0/CK0606_1H1_20251205_007__CK0606_1H1_20251205_007.tif__roi0073__rec000073.png,0,CK0606_1H1_20251205_007,JAMSTEC__CK0606_1H1_20251205_007_bulk.db,CK0606_1H1_20251205_007.tif,73,73,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,254,14,302,62
class0/CK0606_1H1_20251205_010__CK0606_1H1_20251205_010.tif__roi0059__rec000059.png,0,CK0606_1H1_20251205_010,JAMSTEC__CK0606_1H1_20251205_010_bulk.db,CK0606_1H1_20251205_010.tif,59,59,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,318,476,366,524
class0/CK0606_1H1_20251205_007__CK0606_1H1_20251205_007.tif__roi0032__rec000032.png,0,CK0606_1H1_20251205_007,JAMSTEC__CK0606_1H1_20251205_007_bulk.db,CK0606_1H1_20251205_007.tif,32,32,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,938,298,986,346
class0/CK0606_1H1_20251205_007__CK0606_1H1_20251205_007.tif__roi0050__rec000050.png,0,CK0606_1H1_20251205_007,JAMSTEC__CK0606_1H1_20251205_007_bulk.db,CK0606_1H1_20251205_007.tif,50,50,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,389,711,437,759
class0/CK0606_1H1_20251205_014__CK0606_1H1_20251205_014.tif__roi0049__rec000049.png,0,CK0606_1H1_20251205_014,JAMSTEC__CK0606_1H1_20251205_014_bulk.db,CK0606_1H1_20251205_014.tif,49,49,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,318,476,366,524
class0/CK0606_1H1_20251205_012__CK0606_1H1_20251205_012.tif__roi0053__rec000053.png,0,CK0606_1H1_20251205_012,JAMSTEC__CK0606_1H1_20251205_012_bulk.db,CK0606_1H1_20251205_012.tif,53,53,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,318,476,366,524
class0/CK0606_1H1_20251205_013__CK0606_1H1_20251205_013.tif__roi0049__rec000049.png,0,CK0606_1H1_20251205_013,JAMSTEC__CK0606_1H1_20251205_013_bulk.db,CK0606_1H1_20251205_013.tif,49,49,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,318,476,366,524
class0/CK0606_1H1_20251205_008__CK0606_1H1_20251205_008.tif__roi0071__rec000071.png,0,CK0606_1H1_20251205_008,JAMSTEC__CK0606_1H1_20251205_008_bulk.db,CK0606_1H1_20251205_008.tif,71,71,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,254,14,302,62
class0/CK0606_1H1_20251205_004__CK0606_1H1_20251205_004.tif__roi0037__rec000037.png,0,CK0606_1H1_20251205_004,JAMSTEC__CK0606_1H1_20251205_004_bulk.db,CK0606_1H1_20251205_004.tif,37,37,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,938,298,986,346
class0/CK0606_1H1_20251205_004__CK0606_1H1_20251205_004.tif__roi0048__rec000048.png,0,CK0606_1H1_20251205_004,JAMSTEC__CK0606_1H1_20251205_004_bulk.db,CK0606_1H1_20251205_004.tif,48,48,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,343,28,391,76
class0/CK0606_1H1_20251205_013__CK0606_1H1_20251205_013.tif__roi0068__rec000068.png,0,CK0606_1H1_20251205_013,JAMSTEC__CK0606_1H1_20251205_013_bulk.db,CK0606_1H1_20251205_013.tif,68,68,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,362,462,410,510
class0/CK0606_1H1_20251205_014__CK0606_1H1_20251205_014.tif__roi0071__rec000071.png,0,CK0606_1H1_20251205_014,JAMSTEC__CK0606_1H1_20251205_014_bulk.db,CK0606_1H1_20251205_014.tif,71,71,0,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,362,462,410,510
class1/CK0606_1H1_20251205_014__CK0606_1H1_20251205_014.tif__roi0104__rec000104.png,1,CK0606_1H1_20251205_014,JAMSTEC__CK0606_1H1_20251205_014_bulk.db,CK0606_1H1_20251205_014.tif,104,104,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,1128,690,1176,738
class1/CK0606_1H1_20251205_011__CK0606_1H1_20251205_011.tif__roi0056__rec000056.png,1,CK0606_1H1_20251205_011,JAMSTEC__CK0606_1H1_20251205_011_bulk.db,CK0606_1H1_20251205_011.tif,56,56,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,318,476,366,524
class1/CK0606_1H1_20251205_011__CK0606_1H1_20251205_011.tif__roi0052__rec000052.png,1,CK0606_1H1_20251205_011,JAMSTEC__CK0606_1H1_20251205_011_bulk.db,CK0606_1H1_20251205_011.tif,52,52,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,389,711,437,759
class1/CK0606_1H1_20251205_008__CK0606_1H1_20251205_008.tif__roi0048__rec000048.png,1,CK0606_1H1_20251205_008,JAMSTEC__CK0606_1H1_20251205_008_bulk.db,CK0606_1H1_20251205_008.tif,48,48,1,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,363,462,411,510
class2/CK0606_1H1_20251205_009__CK0606_1H1_20251205_009.tif__roi0050__rec000050.png,2,CK0606_1H1_20251205_009,JAMSTEC__CK0606_1H1_20251205_009_bulk.db,CK0606_1H1_20251205_009.tif,50,50,2,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,389,711,437,759
class2/CK0606_1H1_20251205_008__CK0606_1H1_20251205_008.tif__roi0076__rec000076.png,2,CK0606_1H1_20251205_008,JAMSTEC__CK0606_1H1_20251205_008_bulk.db,CK0606_1H1_20251205_008.tif,76,76,2,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,1049,474,1097,522
class2/CK0606_1H1_20251205_008__CK0606_1H1_20251205_008.tif__roi0053__rec000053.png,2,CK0606_1H1_20251205_008,JAMSTEC__CK0606_1H1_20251205_008_bulk.db,CK0606_1H1_20251205_008.tif,53,53,2,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,318,476,366,524
class2/CK0606_1H1_20251205_009__CK0606_1H1_20251205_009.tif__roi0058__rec000058.png,2,CK0606_1H1_20251205_009,JAMSTEC__CK0606_1H1_20251205_009_bulk.db,CK0606_1H1_20251205_009.tif,58,58,2,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,318,476,366,524
class2/CK0606_1H1_20251205_009__CK0606_1H1_20251205_009.tif__roi0061__rec000061.png,2,CK0606_1H1_20251205_009,JAMSTEC__CK0606_1H1_20251205_009_bulk.db,CK0606_1H1_20251205_009.tif,61,61,2,1,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,362,462,410,510
class3/CK0606_1H1_20251205_012__CK0606_1H1_20251205_012.tif__roi0058__rec000058.png,3,CK0606_1H1_20251205_012,JAMSTEC__CK0606_1H1_20251205_012_bulk.db,CK0606_1H1_20251205_012.tif,58,58,3,3,/Users/gashu/Desktop/AbyssEye/models/MyResNet18_model_best_four_class,0,manual,0,1440,900,59,344,107,392
